# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
492.433716 52.812130 -128.604279 1143.000000 18.777340 245.375580 -194.366211
928.079651 89.818230 -111.937027 1224.000000 -41.526634 -327.635559 351.331421
343.327301 199.902008 -58.909218 1840.000000 -107.250633 235.737488 235.279938
534.028381 48.379925 -249.113892 1391.000000 451.618713 290.837402 -269.251099
134.607040 67.551315 -101.437004 1136.000000 -104.667267 85.323723 -145.755554
722.294983 77.019722 -104.987083 1515.000000 -467.500122 218.935837 457.285645
388.377563 107.881882 -166.313049 1218.000000 431.475220 343.911560 172.489410
342.301208 151.728729 -83.976013 1335.000000 -327.475952 -258.285278 34.302467
628.198669 7.539835 -15.397469 1167.000000 338.679443 131.904739 348.180908
95.747185 177.357101 -128.177994 1922.000000 -248.541718 -28.595873 -300.941895
301.619141 78.336891 -159.579010 1413.000000 -378.652649 -261.083496 209.743011
643.201782 46.683945 -185.612640 1716.000000 478.118347 100.465927 -37.789349
396.238892 82.684784 -49.803230 1205.000000 -364.886902 -298.318420 -483.800659
208.309647 14.818300 -85.630043 1684.000000 -185.954071 437.547302 391.449860
322.668335 157.729599 -33.999065 1107.000000 486.726135 -117.915031 -392.603973
693.336792 103.371910 -130.507294 1242.000000 -152.615524 -251.108536 5.173938
210.909607 58.522400 -124.418327 1927.000000 211.207535 -197.963074 -181.224442
192.378174 8.939194 -43.625824 1157.000000 267.749878 108.632431 -371.999329
409.191376 238.386276 -49.746384 1964.000000 411.982544 96.563751 -465.271484
576.781677 38.671265 -68.930908 1926.000000 -357.693481 97.145569 -21.724133
924.749512 125.321724 -74.240707 1623.000000 -410.531738 -429.873535 179.148438
302.352203 160.087128 -140.198318 1458.000000 468.990051 -55.404564 395.147156
306.172882 61.386742 -161.707001 1649.000000 -349.649536 -479.098328 -109.763977
580.975159 66.609589 -7.655060 1390.000000 313.839722 492.603821 45.273453
810.822937 203.406982 -197.327911 1488.000000 -469.208435 -126.760254 -429.946045
443.173401 50.141003 -25.341217 1923.000000 417.765411 53.192356 -463.207703
297.742218 107.149445 -95.733528 1639.000000 -373.318420 468.576752 173.172791
270.790588 176.517426 -114.233360 1761.000000 493.728455 345.892273 -442.259766
596.409424 145.843170 -210.097748 1343.000000 396.026947 277.280365 -216.595673
547.716492 126.003654 -121.417694 1155.000000 -23.828545 70.035309 -88.485565
304.246735 67.546684 -123.064194 1404.000000 -319.511871 398.021790 -259.180237
313.285736 136.107010 -4.290337 1424.000000 -87.819077 108.134827 412.242188
556.437988 58.522030 -188.957779 1166.000000 -336.115448 364.189545 -431.199097
255.002808 151.834229 -162.535263 1260.000000 -138.659424 -275.328064 145.914505
638.946838 175.552307 -37.790344 1580.000000 432.787872 -205.771255 289.199524
672.791748 125.146172 -1.258644 1897.000000 -247.822021 -72.651001 223.396790
219.599197 80.193756 -92.305351 1714.000000 482.305908 384.994751 -203.841583
683.649963 175.571167 -128.525146 2357.000000 434.310272 -442.029938 377.226929
505.975311 117.633247 -97.478302 1267.000000 390.699463 62.420776 -218.984161
408.024597 77.567734 -112.110092 1430.000000 -207.656250 -58.463814 481.079224
353.971252 97.909744 -90.106834 1597.000000 184.080048 -229.834015 -77.125366
693.633667 188.168472 -24.023533 1470.000000 -293.694031 180.661087 -120.410286
369.563019 51.408176 -118.822052 1033.000000 309.490509 -193.984619 -61.410179
759.276733 161.600845 -85.198067 1251.000000 40.845478 396.612244 -250.294006
269.802032 147.620972 -77.060364 1823.000000 487.802704 -229.544800 428.219421
490.219452 116.898224 -194.178757 2111.000000 227.044769 272.737213 -359.642365
611.233215 129.611252 -225.800842 2462.000000 315.665009 297.683838 165.451660
171.874649 129.709427 -111.949303 1802.000000 -281.076355 -212.724762 -174.256744
371.894073 156.193909 -88.091660 1720.000000 98.805557 157.677429 162.184357
403.397125 118.946121 -188.616623 1587.000000 107.332642 -232.169998 -16.738934
201.028030 104.621017 -103.417160 1380.000000 -359.463409 98.309906 145.852264
813.766296 115.858963 -98.393600 1611.000000 -282.858459 -423.825165 -257.504181
224.951492 71.734024 -44.632904 1343.000000 272.413208 288.137726 67.567627
174.271591 142.369034 -174.021301 1201.000000 90.224304 -375.068695 -230.950226
284.988159 160.324905 -10.642757 1376.000000 -118.499771 103.146706 -116.187515
452.771912 44.790897 -66.429749 1219.000000 115.388855 -460.935730 -165.058838
532.200562 82.459747 -232.963104 1390.000000 461.606201 -293.391907 -191.549042
724.121033 127.276291 -127.707565 1895.000000 295.026672 38.891968 -466.104492
405.912292 89.879150 -122.062439 1284.000000 -350.867371 218.902008 -456.354431
743.912415 38.007221 -73.729004 2252.000000 292.274139 480.964050 -105.760956
302.129211 61.532196 -53.208393 968.000000 314.554199 -3.104280 -115.099274
603.096741 139.649506 -104.252625 1704.000000 415.990356 -260.316040 125.981934
474.854858 176.918701 -106.135361 1163.000000 428.694519 -76.976807 66.150345
380.937134 207.730392 -54.650005 1562.000000 239.565155 -294.524780 43.503128
474.067993 48.678734 -98.130318 1400.000000 364.791870 471.801941 -466.306488
965.144958 138.614578 -75.917557 1434.000000 120.407623 -158.763062 362.857727
505.640747 84.487450 -29.981873 2289.000000 150.457184 -32.236065 -438.808411
367.572815 47.272854 -63.558792 1978.000000 -131.512726 375.918884 -311.607574
476.322601 174.361801 -21.827478 1592.000000 145.851013 -433.324158 -288.216827
520.326904 51.349266 -9.239494 1449.000000 -227.737305 -123.207382 -155.068405
356.847565 177.168167 -111.640579 2309.000000 458.538574 -86.820023 286.078918
301.757599 162.365219 -148.520859 1489.000000 476.788666 468.781677 -110.948013
235.254852 151.556458 -55.786407 1124.000000 474.145386 490.679932 -201.376968
